Rank,Shear Range,Zoom Range,Rotation Range,Width Shift Range,Height Shift Range,Horizontal Flip,Test Accuracy,Precision,Recall,F1 Score
1,0.0,0.0,0,0.0,0.0,True,55.99,0.91,0.95,0.93
2,0.0,0.3,0,0.0,0.0,True,46.83,0.87,0.95,0.91
3,0.0,0.0,0,0.0,0.0,True,53.52,0.85,0.97,0.91
4,0.3,0.0,0,0.0,0.0,True,54.93,0.86,0.95,0.9
5,0.0,0.0,0,0.0,0.0,False,42.25,0.88,0.92,0.9
6,0.0,0.3,0,0.0,0.0,False,41.9,0.85,0.96,0.9
7,0.3,0.0,0,0.0,0.0,False,52.11,0.83,0.97,0.9
8,0.3,0.0,30,0.0,0.0,False,40.14,0.83,0.97,0.89
9,0.0,0.0,0,0.3,0.0,True,47.89,0.87,0.92,0.89
10,0.3,0.3,0,0.0,0.0,False,49.65,0.82,0.96,0.89
