Configuration,shear_range,zoom_range,rotation_range,width_shift_range,height_shift_range,horizontal_flip,Test Accuracy (%),Precision,Recall,F1 Score
1,0.0,0.0,0,0.0,0.0,False,76.74,0.97,1.0,0.99
2,0.0,0.0,10,0.0,0.0,False,81.4,1.0,0.97,0.99
3,0.0,0.1,0,0.0,0.0,False,95.35,1.0,0.97,0.99
4,0.0,0.1,10,0.0,0.0,False,20.93,0.88,1.0,0.94
5,0.0,0.2,0,0.0,0.0,False,81.4,0.97,0.97,0.97
6,0.0,0.2,10,0.0,0.0,False,16.28,0.92,0.63,0.75
7,0.2,0.0,0,0.0,0.0,False,83.72,1.0,1.0,1.0
8,0.2,0.0,10,0.0,0.0,False,9.3,0.88,1.0,0.94
9,0.2,0.1,0,0.0,0.0,False,93.02,0.95,0.97,0.96
10,0.2,0.1,10,0.0,0.0,False,16.28,0.88,1.0,0.94
11,0.2,0.0,10,0.0,0.0,False,9.3,0.88,1.0,0.94
12,0.2,0.2,0,0.0,0.0,False,9.3,0.88,1.0,0.94
